1,Battery,2012-04-05,20,4,1
2,Regular maintenance,2012-03-24,50,1,3
3,Gearbox,2012-03-30,20,2,5
4,Lock,2012-03-27,20,3,7
5,GPS,2012-03-16,100,2,9
6,On board computer,2012-03-26,20,2,11
7,Panel Beating,2012-04-04,50,1,13
8,Electronics Electric Circuits,2012-03-23,50,2,15
9,Breaks,2012-03-17,100,1,17
10,Regular maintenance,2012-03-29,50,3,19
11,GPS,2012-03-20,100,4,21
12,Transmission,2012-04-02,50,1,23
13,Panel Beating,2012-03-14,50,3,25
14,Exhaust,2012-04-03,100,4,27
15,Steering,2012-03-24,50,4,29
16,Tires,2012-03-17,50,3,31
17,Security System,2012-03-14,50,1,33
18,Tires,2012-03-30,50,1,35
19,Exhaust,2012-04-02,100,2,37
20,Exhaust,2012-03-17,100,4,39
21,Steering,2012-04-01,50,3,41
22,Regular maintenance,2012-03-13,50,4,43
23,Breaks,2012-03-17,100,4,45
24,Wheel Replacement,2012-03-14,100,4,47
25,Steering,2012-03-22,50,3,49
26,On board computer,2012-03-14,20,1,51
27,Engine Breakdown,2012-04-06,100,2,53
28,Regular maintenance,2012-03-30,50,1,55
29,Laser Wheel Alignment,2012-03-21,20,5,57
30,Body Paint,2012-03-19,20,5,59
31,Panel Beating,2012-03-20,50,3,61
32,Air con,2012-04-01,100,2,63
33,Gearbox,2012-04-06,20,1,65
34,Steering,2012-03-15,50,5,67
35,Tires,2012-03-28,50,4,69
36,Pre-NCT,2012-03-27,20,2,71
37,Saftey Bag,2012-04-01,50,4,73
38,Transmission,2012-03-27,50,4,75
39,Security System,2012-03-19,50,5,77
40,Laser Wheel Alignment,2012-03-24,20,5,79
41,Tires,2012-03-23,50,3,81
42,Exhaust,2012-03-30,100,2,83
43,Panel Beating,2012-03-28,50,5,85
44,Engine Breakdown,2012-03-24,100,2,87
45,On board computer,2012-03-15,20,3,89
46,Electronics Electric Circuits,2012-03-31,50,2,91
47,Body Paint,2012-03-15,20,3,93
48,Electronics Electric Circuits,2012-03-28,50,3,95
49,Breaks,2012-03-25,100,3,97
50,Gearbox,2012-03-27,20,2,99
51,Body Part Replacement,2012-03-31,100,1,101
52,Body Part Replacement,2012-03-24,100,2,103
53,Transmission,2012-03-29,50,4,105
54,Sensors,2012-03-20,100,3,107
55,Exhaust,2012-04-08,100,1,109
56,Regular maintenance,2012-03-31,50,5,111
57,Steering,2012-04-05,50,1,113
58,On board computer,2012-03-29,20,2,115
59,Saftey Bag,2012-03-21,50,4,117
60,Body Part Replacement,2012-03-18,100,1,119
61,Exhaust,2012-04-05,100,3,121
62,Lock,2012-04-05,20,5,123
63,Body Paint,2012-03-21,20,5,125
64,Tires,2012-04-08,50,1,127
65,Regular maintenance,2012-03-29,50,5,129
66,GPS,2012-03-20,100,4,131
67,Saftey Bag,2012-03-18,50,5,133
68,Security System,2012-03-29,50,3,135
69,Gearbox,2012-04-03,20,1,137
70,Tires,2012-03-16,50,1,139
71,Engine Breakdown,2012-04-05,100,4,141
72,Sensors,2012-03-26,100,1,143
73,Battery,2012-03-31,20,4,145
74,Steering,2012-04-02,50,5,147
75,Laser Wheel Alignment,2012-03-26,20,4,149
76,Battery,2012-04-02,20,5,151
77,Lock,2012-03-17,20,4,153
78,Breaks,2012-03-22,100,3,155
79,Body Part Replacement,2012-04-07,100,5,157
80,Regular maintenance,2012-03-26,50,2,159
81,Regular maintenance,2012-04-07,50,1,161
82,Sensors,2012-03-19,100,1,163
83,Steering,2012-03-28,50,1,165
84,GPS,2012-03-23,100,1,167
85,Body Paint,2012-04-10,20,5,169
86,Light,2012-03-23,20,2,171
87,Sensors,2012-04-05,100,5,173
88,Saftey Bag,2012-04-05,50,1,175
89,Air con,2012-03-23,100,1,177
90,Steering,2012-03-26,50,2,179
91,On board computer,2012-03-31,20,5,181
92,Saftey Bag,2012-04-06,50,5,183
93,Steering,2012-04-10,50,2,185
94,Breaks,2012-04-07,100,1,187
95,Body Paint,2012-04-03,20,5,189
96,Saftey Bag,2012-03-27,50,4,191
97,Breaks,2012-04-02,100,1,193
98,Light,2012-04-09,20,4,195
99,Breaks,2012-04-08,100,4,197
100,Tires,2012-03-31,50,5,199
101,Sensors,2012-03-20,100,3,201
102,Lock,2012-03-30,20,4,203
103,Light,2012-03-25,20,3,205
104,On board computer,2012-03-31,20,3,207
105,Steering,2012-03-29,50,1,209
106,Wheel Replacement,2012-03-22,100,5,211
107,Battery,2012-03-30,20,2,213
108,Sensors,2012-04-11,100,5,215
109,Regular maintenance,2012-03-31,50,1,217
110,Tires,2012-03-22,50,4,219
111,Tires,2012-04-04,50,5,221
112,Sensors,2012-04-11,100,5,223
113,Body Paint,2012-04-11,20,3,225
114,Regular maintenance,2012-03-26,50,2,227
115,Steering,2012-03-23,50,3,229
116,Pre-NCT,2012-04-11,20,2,231
117,Air con,2012-04-03,100,1,233
118,Transmission,2012-04-09,50,1,235
119,Wheel Replacement,2012-04-02,100,5,237
120,Steering,2012-04-09,50,2,239
121,Air con,2012-03-27,100,3,241
122,Saftey Bag,2012-03-21,50,1,243
123,Gearbox,2012-03-21,20,5,245
124,Transmission,2012-04-07,50,1,247
125,Body Paint,2012-04-01,20,1,249
126,Tires,2012-04-04,50,1,251
127,Battery,2012-03-29,20,2,253
128,Breaks,2012-03-26,100,3,255
